pageid	primary_platform	platforms
294745	atari 2600	atari 2600
295083	microsoft windows	microsoft windows
295545	zx spectrum	acorn electron,amstrad cpc,bbc micro,commodore 16,commodore 64,zx spectrum
296154	playstation	playstation (console)
296199	ms-dos	ms-dos,amigaos 4,linux,microsoft windows,mac os x
296400	ms-dos	ms-dos,apple macintosh
297098		
300040	sega mega drive/genesis	msx,arcade game,pc-9801,family computer,family computer disk system,super famicom,game boy,mega drive,game gear,turbografx-16,mac os,n-gage (device),virtual console,windows 3.1x,windows 95,windows ce,x68000,fm towns,mobile phone
300257	sega mega drive/genesis	sega genesis,game boy advance,nintendo 3ds,ios,android (operating system)
301426	ms-dos	mac os,microsoft windows,ms-dos,game boy advance,ios
302111	zx spectrum	arcade game,capcom power system changer,amiga,amstrad cpc,atari st,commodore 64,playstation 2,sega mega-cd,zx spectrum,super nintendo entertainment system,x68000,xbox (console),game boy advance,playstation portable,ios
302327	apple ii	apple ii family,ms-dos,atari 8-bit family,commodore 64
302558	cross-platform	cross-platform
303772	game boy color	game boy color
304738	xbox	microsoft windows,linux,mac os x,xbox (console)
304856		
304970	pc game	microsoft windows,mac os x,linux,unix,netbsd
305117	nintendo gamecube	gamecube,playstation 2,xbox (console),game boy advance,microsoft windows
305180	apple ii	arcade game,apple ii,atari 2600,atari 5200,atari 7800,atari 8-bit family,bbc micro,colecovision,commodore 64,ibm pc,intellivision,ti-99/4a,vic-20
305596	apple macintosh	microsoft windows,mac os
305618	apple macintosh	mac os,microsoft windows
306465	game boy advance	nintendo entertainment system,sharp x68000,pc engine super cd-rom,game boy advance
306470	ios game	super nintendo entertainment system,foma,ios,android (operating system)
307333	nintendo 64	nintendo 64,xbox 360
307335	nintendo 64	nintendo 64,xbox 360
307541	commodore amiga	microsoft windows,warpos,amiga os
307976	apple macintosh	microsoft windows,macos
308002	playstation 2	playstation 2
308623	zx spectrum	arcade game,nintendo entertainment system,amstrad cpc,commodore 64,zx spectrum,playstation network
309044	sega game gear	master system,game gear
309986	microsoft windows	microsoft windows
310738	arcade game	arcade game
310917	sega mega drive/genesis	ibm compatible,amiga,atari st,commodore 64,sega genesis,macintosh
311486	ms-dos	ms-dos
311487	ms-dos	ms-dos
311862	sega mega cd	sega cd,microsoft windows,android (operating system),playstation 3,xbox 360,ios,windows phone
312120	cross-platform	cross-platform
312600	msx	nintendo entertainment system,msx
313868	sega mega drive/genesis	apple iigs,amiga,atari st,dos,mega drive
313873	atari jaguar	amiga,amiga cd32,atari jaguar,dos
313907	apple macintosh	microsoft windows,mac os
314047	nintendo famicom	family computer disk system,nintendo entertainment system
314495	sega mega drive/genesis	sega genesis
315119	sega saturn	arcade game,sega saturn,microsoft windows
315526	nintendo wii	nintendo entertainment system,virtual console
316480	ms-dos	linux,microsoft windows,dos,macintosh operating systems,amiga,macos,video game genre,roguelike,single-player,dungeon crawl,roguelike,personal computer game,moria (computer game),j. r. r. tolkien,angband,morgoth,unix,microsoft windows,mac os x,android (operating system)
318361	arcade game	arcade game,nintendo entertainment system
319145	super nintendo entertainment system	super nintendo entertainment system
320327	apple ii	apple iigs
320433	apple macintosh	microsoft windows,mac os,mac os x
320482	atari 2600	atari 2600
324845	microsoft windows	microsoft windows
326268	nintendo gamecube	famicom disk system,nintendo entertainment system,gamecube,game boy advance
327234	playstation 2	playstation 2
330873	xbox	microsoft windows,xbox (console),os x,amigaos 4
330895	playstation 3	microsoft windows,mac os,playstation 3,xbox 360
333681	microsoft windows	microsoft windows
334532	sega saturn	mac os,microsoft windows,sega saturn,playstation (console),pocket pc,ios
335215	sega dreamcast	dreamcast,game boy advance,ios (apple),android (operating system)
336539	nintendo gamecube	dreamcast,gamecube,playstation 3,xbox 360,microsoft windows
337730	arcade game	arcade game,burgertime
339109	ms-dos	ms-dos
339197	apple macintosh	mac os,os x
340665	nintendo 64	nintendo 64,ique player
341331	playstation 3	ms-dos,macintosh,game boy advance,tapwave zodiac,xbox,xbox 360,playstation 3
343114	playstation	playstation (console)
344197	xbox 360	microsoft windows,linux,xbox 360,os x
345400	microsoft windows	microsoft windows
347026	ms-dos	ms-dos
347060	zx spectrum	microsoft windows,ms-dos,atari lynx,atari st,amiga,commodore 64,zx spectrum,amstrad cpc
347209	game boy color	windows 3.1x,game boy color
347590	sega mega drive/genesis	sega genesis
347798	microsoft windows	microsoft windows
350473	nintendo gamecube	arcade game,dreamcast,gamecube,xbox 360,windows
351172	nintendo gamecube	gamecube,playstation 2,xbox (console)
353081	playstation 4	microsoft windows,playstation 2,playstation 4,xbox (console),os x,game boy advance,ios,android (operating system)
354015	nintendo 3ds	android (operating system),apple ii,ios (apple),macintosh,blackberry,commodore 64,dos,facebook,java me,nintendo dsi,nintendo 3ds,wii,microsoft windows,windows mobile,windows phone 7
355907	nintendo game boy	game boy
355914	super nintendo entertainment system snes	super nes
356429	game boy advance	game boy advance
356690	nintendo game boy	game boy,game boy color
356790	apple ii	apple ii series,dos,macintosh,commodore 64,nintendo entertainment system,pc booter,nec pc-9801
357017	playstation 2	microsoft windows,mac os,playstation 2
